id,player_id,year,team_id,league_id,level_id,split_id,position,tc,a,po,er,ip,g,gs,e,dp,tp,pb,sba,rto,ipf,plays,plays_base,roe,opps_0,opps_made_0,opps_1,opps_made_1,opps_2,opps_made_2,opps_3,opps_made_3,opps_4,opps_made_4,opps_5,opps_made_5,framing,arm,zr
164427,26070,2044,34,100,1,0,1,11,7,3,0,79,69,0,1,0,0,0,5,1,0,6,5,1,6,5,2,0,0,0,0,0,0,0,0,0,-1.35,0.0,-0.2432
168067,26132,2044,3,100,1,0,1,1,0,1,0,14,6,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.135,0.0,0.4143
172816,26231,2044,1631,100,1,0,1,26,18,8,0,214,35,35,0,3,0,0,22,5,2,17,15,0,16,15,1,0,1,1,1,1,0,0,0,0,1.215,0.0,1.1133
173831,26257,2044,34,100,1,0,1,18,11,6,0,139,44,10,1,1,0,0,21,7,0,8,8,1,6,5,2,1,2,2,0,0,0,0,0,0,-0.0,0.0,0.9118
174037,26264,2044,18,100,1,0,2,600,24,574,234,552,65,60,2,0,0,2,54,8,2,8,8,0,13,13,6,6,1,0,0,0,0,0,0,0,0.405,0.0,-0.071
174039,26264,2044,18,100,1,0,3,6,0,6,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,-0.0136
178010,26373,2044,31,100,1,0,4,105,64,40,0,193,29,20,1,16,0,0,0,0,0,60,55,1,57,53,6,4,12,9,8,1,17,3,9,0,0.0,0.0,1.5343
178015,26373,2044,31,100,1,0,5,24,17,6,0,103,14,11,1,3,0,0,0,0,0,22,22,1,18,17,1,1,5,3,0,0,2,2,0,0,0.0,0.0,0.163
178019,26373,2044,31,100,1,0,6,95,52,41,0,216,26,24,2,9,0,0,0,0,0,57,57,2,58,51,13,8,7,4,15,6,5,0,6,0,0.0,0.0,-1.0236
183026,26444,2044,2,100,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-0.1032
187726,26513,2044,8,100,1,0,1,10,5,5,0,88,66,1,0,0,0,0,5,0,0,5,5,0,4,3,2,1,2,2,0,0,0,0,0,0,-0.54,0.0,-0.322
188412,26528,2044,29,100,1,0,1,8,5,3,0,84,14,14,0,0,0,0,20,3,0,6,5,0,6,5,1,1,0,0,0,0,0,0,0,0,0.405,0.0,-0.3619
