id,player_id,year,team_id,league_id,level_id,split_id,position,tc,a,po,er,ip,g,gs,e,dp,tp,pb,sba,rto,ipf,plays,plays_base,roe,opps_0,opps_made_0,opps_1,opps_made_1,opps_2,opps_made_2,opps_3,opps_made_3,opps_4,opps_made_4,opps_5,opps_made_5,framing,arm,zr
110441,42331,2057,51,144,1,0,4,99,66,32,0,175,22,20,1,17,0,0,0,0,2,60,54,1,51,47,7,6,11,8,8,2,17,4,3,0,0.0,0.0,2.7517
110445,42331,2057,51,144,1,0,5,48,31,15,0,188,24,23,2,3,0,0,0,0,0,37,39,2,38,35,9,8,5,2,1,0,2,1,1,0,0.0,0.0,-1.3223
110451,42331,2057,51,144,1,0,6,234,155,70,0,470,55,51,9,20,0,0,0,0,2,170,162,9,159,149,19,6,26,13,24,11,28,6,9,0,0.0,0.0,0.478
110601,42334,2057,54,144,1,0,7,272,4,267,0,1257,143,143,1,0,0,0,0,0,1,257,251,0,189,186,55,50,29,18,35,6,50,7,51,0,0.0,-2.8084,7.5463
110718,42336,2057,60,144,1,0,7,10,0,10,0,30,10,2,0,0,0,0,0,0,0,10,10,0,8,8,1,1,2,0,1,1,2,0,0,0,0.0,0.2635,0.0467
110720,42336,2057,60,144,1,0,8,424,14,405,0,1203,138,137,5,0,0,0,0,0,1,407,388,2,252,249,67,67,62,46,55,29,48,14,100,0,0.0,0.704,11.4685
110722,42336,2057,60,144,1,0,9,1,1,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0.0,0.0845,-0.0767
110920,42338,2057,49,144,1,0,7,41,1,40,0,230,27,26,0,0,0,0,0,0,0,38,37,0,36,35,3,3,5,1,5,1,11,0,3,0,0.0,-0.1917,-0.1403
111200,42347,2057,43,144,1,0,4,1,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,-0.1372
111205,42347,2057,43,144,1,0,5,350,241,91,0,1274,147,147,18,25,0,0,0,0,2,285,283,16,235,221,46,39,50,41,10,5,34,12,6,0,0.0,0.0,1.7006
112144,42372,2057,50,144,1,0,7,211,2,206,0,1083,125,123,3,0,0,0,0,0,2,204,199,1,142,141,50,45,19,9,21,6,44,5,51,0,0.0,-2.6023,5.6156
112146,42372,2057,50,144,1,0,8,54,1,53,0,160,23,17,0,0,0,0,0,0,0,53,51,0,31,31,11,10,12,9,5,2,3,1,8,0,0.0,-0.3723,0.9643
112149,42372,2057,50,144,1,0,9,3,0,3,0,8,2,1,0,0,0,0,0,0,0,3,3,0,2,2,1,1,0,0,0,0,0,0,0,0,0.0,0.0017,0.0696
112634,42380,2057,47,144,1,0,8,395,16,376,0,1266,146,146,3,0,0,0,0,0,2,377,374,2,250,247,67,59,56,42,54,23,35,5,103,0,0.0,-1.9157,-1.525
112639,42380,2057,47,144,1,0,9,1,0,1,0,21,13,0,0,0,0,0,0,0,2,1,1,0,1,1,0,0,0,0,1,0,2,0,0,0,0.0,-0.0788,-0.1195
114237,42466,2057,57,144,1,0,7,3,0,3,0,18,2,2,0,0,0,0,0,0,0,3,3,0,1,1,1,1,1,1,0,0,0,0,2,0,0.0,0.0,0.2544
114239,42466,2057,57,144,1,0,8,237,7,228,0,748,83,83,2,1,0,0,0,0,2,230,219,2,138,136,46,46,36,29,29,11,26,6,48,0,0.0,-0.4692,4.9381
114244,42466,2057,57,144,1,0,9,2,0,2,0,18,2,2,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,1,0,0.0,0.348,0.0174
114330,42468,2057,55,144,1,0,4,459,269,184,0,1003,119,111,6,67,0,0,0,0,0,277,259,6,258,242,44,27,60,38,49,12,51,5,13,0,0.0,0.0,5.0949
114332,42468,2057,55,144,1,0,6,27,20,7,0,55,10,6,0,3,0,0,0,0,2,21,21,0,22,22,1,1,1,0,2,0,2,0,1,0,0.0,0.0,0.244
114971,42510,2057,33,144,1,0,7,5,0,5,0,17,3,1,0,0,0,0,0,0,0,5,6,0,5,5,0,0,0,0,1,0,1,0,0,0,0.0,0.047,-0.3855
114973,42510,2057,33,144,1,0,9,29,0,29,0,138,18,17,0,0,0,0,0,0,0,27,29,0,20,20,11,8,1,0,7,0,7,1,8,0,0.0,0.235,-1.6125
116300,42592,2057,54,144,1,0,7,3,0,3,0,13,3,1,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,3,0,1,0,0.0,-0.0091,-0.026
116302,42592,2057,54,144,1,0,8,53,2,51,0,163,21,17,0,0,0,0,0,0,0,51,49,0,29,29,11,11,7,7,2,2,7,2,13,0,0.0,-0.3627,2.4707
116851,42606,2057,34,144,1,0,3,445,24,415,0,455,55,50,6,35,0,0,0,0,2,75,73,5,81,76,12,9,8,4,4,3,0,0,0,0,0.0,0.0,-0.9248
116854,42606,2057,34,144,1,0,5,8,7,1,0,34,10,2,0,0,0,0,0,0,0,8,8,0,5,5,3,3,0,0,0,0,0,0,0,0,0.0,0.0,0.3096
116857,42606,2057,34,144,1,0,7,2,0,2,0,8,1,1,0,0,0,0,0,0,2,2,2,0,1,1,0,0,0,0,1,1,0,0,0,0,0.0,0.0,0.3091
116860,42606,2057,34,144,1,0,8,1,0,1,0,9,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0.0,0.0,0.0417
116863,42606,2057,34,144,1,0,9,3,0,3,0,11,3,1,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,1,0,0,0,0,0,0.0,0.0,-0.0506
118618,42713,2057,44,144,1,0,3,26,3,22,0,27,4,3,1,2,0,0,0,0,0,9,9,1,7,6,2,2,0,0,0,0,0,0,0,0,0.0,0.0,-0.3506
118632,42713,2057,44,144,1,0,5,10,10,0,0,31,4,4,0,1,0,0,0,0,0,10,11,0,5,5,3,3,2,1,1,1,2,0,0,0,0.0,0.0,-0.1003
119795,44309,2057,59,144,1,0,2,1131,73,1057,495,1085,124,124,1,2,0,4,110,28,0,22,21,0,28,26,7,7,12,12,0,0,1,0,0,0,14.58,0.0,2.7638
119834,44310,2057,57,144,1,0,2,1116,59,1053,404,1101,123,123,4,7,0,7,95,26,1,17,16,1,27,27,12,12,11,9,0,0,0,0,0,0,4.59,0.0,2.5048
123116,44385,2057,42,144,1,0,3,64,7,55,0,74,10,7,2,2,0,0,0,0,0,11,11,2,10,8,0,0,1,1,2,1,2,0,0,0,0.0,0.0,-0.8006
123119,44385,2057,42,144,1,0,6,3,1,1,0,3,1,0,1,0,0,0,0,0,0,2,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-0.4509
123121,44385,2057,42,144,1,0,8,4,0,4,0,9,1,0,0,0,0,0,0,0,0,4,4,0,4,4,0,0,0,0,0,0,0,0,1,0,0.0,0.0037,0.0154
126563,44460,2057,38,144,1,0,3,1062,88,971,0,1129,128,128,3,90,0,0,0,0,1,203,200,3,210,206,33,31,20,15,10,6,10,0,4,0,0.0,0.0,5.1662
126566,44460,2057,38,144,1,0,5,11,9,2,0,45,9,4,0,0,0,0,0,0,1,10,10,0,8,8,2,2,1,1,0,0,1,0,1,0,0.0,0.0,0.3519
127008,44465,2057,32,144,1,0,4,57,34,22,0,95,14,10,1,7,0,0,0,0,0,30,28,1,31,29,5,3,2,0,5,2,5,0,3,0,0.0,0.0,0.0642
127020,44465,2057,32,144,1,0,6,204,127,74,0,462,53,52,3,24,0,0,0,0,1,134,140,3,142,131,9,5,25,10,20,8,32,4,7,0,0.0,-0.0457,-2.9819
127366,44472,2057,50,144,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.135,0.0,0.0
127368,44472,2057,33,144,1,0,1,6,3,3,0,40,29,0,0,1,0,0,3,1,2,5,5,0,4,3,1,1,1,1,0,0,0,0,0,0,-0.27,0.0,0.2401
127640,44473,2057,44,144,1,0,1,7,4,1,0,97,19,19,2,0,0,0,12,3,1,5,4,1,4,4,2,1,0,0,0,0,0,0,0,0,1.08,0.0,0.1972
134479,44618,2057,45,144,1,0,6,645,434,198,0,1287,149,149,13,87,0,0,0,0,0,445,410,13,407,385,35,21,59,40,62,21,91,23,21,0,0.0,-0.1511,14.0114
135400,44641,2057,58,144,1,0,1,0,0,0,0,10,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.135,0.0,0.0
135556,44648,2057,48,144,1,0,3,4,0,3,0,5,1,0,1,0,0,0,0,0,0,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-0.5489
135559,44648,2057,48,144,1,0,7,1,0,1,0,9,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0138
135562,44648,2057,48,144,1,0,9,20,3,17,0,85,11,9,0,0,0,0,0,0,2,17,19,0,11,11,3,2,5,3,2,1,0,0,6,0,0.0,0.8339,-0.5008
136434,44661,2057,33,144,1,0,1,1,0,1,0,10,10,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.135,0.0,-0.3212
136437,44661,2057,37,144,1,0,1,2,0,2,0,14,12,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.405,0.0,-0.0808
137490,44681,2057,39,144,1,0,4,2,1,1,0,2,1,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.042
137491,44681,2057,39,144,1,0,6,628,423,187,0,1240,144,142,18,71,0,0,0,0,1,446,425,18,398,369,38,25,71,46,47,21,87,25,29,0,0.0,0.0,9.5498
138031,44694,2057,49,144,1,0,4,59,36,22,0,141,19,15,1,8,0,0,0,0,0,37,33,1,40,39,4,1,3,1,3,0,6,1,3,0,0.0,0.0,0.6426
138040,44694,2057,49,144,1,0,5,37,28,8,0,152,46,10,1,3,0,0,0,0,0,31,30,1,29,28,3,3,2,2,2,0,5,2,0,0,0.0,0.0,0.8281
138046,44694,2057,49,144,1,0,6,34,22,10,0,64,13,7,2,4,0,0,0,0,1,22,22,2,20,18,1,1,3,3,2,0,1,0,1,0,0.0,0.0,-0.2751
