id,player_id,year,team_id,game_id,league_id,level_id,split_id,position,ab,h,k,pa,pitches_seen,g,gs,d,t,hr,r,rbi,sb,cs,bb,ibb,gdp,sh,sf,hp,ci,wpa,stint,ubr,war
423229,52895,2057,44,0,144,1,3,0,180,34,57,191,0,62,48,6,0,0,13,16,0,0,7,0,1,0,1,3,0,0.0,0,0.0,0.0
428940,53394,2057,33,0,144,1,1,0,33,7,12,38,169,17,7,2,0,1,6,3,0,0,5,0,0,0,0,0,0,-0.1366,0,-0.7964,-0.1027
428945,53394,2057,33,0,144,1,2,0,10,2,4,14,0,12,1,1,0,0,4,0,0,0,4,0,0,0,0,0,0,0.0,0,0.0,0.0
428942,53394,2057,33,0,144,1,3,0,23,5,8,24,0,9,6,1,0,1,2,3,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0.0
429940,53464,2057,55,0,144,1,1,0,7,1,1,9,30,6,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,-0.322,0,0.0,-0.0563
429943,53464,2057,55,0,144,1,2,0,6,0,1,8,0,5,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0.0,0,0.0,0.0
429953,53464,2057,55,0,144,1,3,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
431942,53678,2057,53,0,144,1,1,0,384,102,101,436,1700,114,102,27,0,8,43,48,12,4,45,4,4,0,3,4,0,1.798,0,-0.7015,2.4547
431974,53678,2057,53,0,144,1,2,0,113,24,31,129,0,60,29,7,0,1,11,11,0,0,13,0,4,0,1,2,0,0.0,0,0.0,0.0
431949,53678,2057,53,0,144,1,3,0,271,78,70,307,0,101,73,20,0,7,32,37,0,0,32,4,0,0,2,2,0,0.0,0,0.0,0.0
431539,53686,2057,44,0,144,1,1,0,140,26,47,152,579,44,37,2,0,4,11,9,0,0,9,1,3,1,1,1,0,-1.0364,0,-0.4685,-0.4844
431546,53686,2057,44,0,144,1,2,0,28,6,13,29,0,20,6,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0.0,0,0.0,0.0
431542,53686,2057,44,0,144,1,3,0,112,20,34,123,0,42,31,2,0,4,10,7,0,0,9,1,3,0,1,1,0,0.0,0,0.0,0.0
432059,53698,2057,45,0,144,1,1,0,218,50,77,230,828,76,59,6,3,13,30,34,0,0,9,0,4,0,1,2,0,-0.5226,0,0.7726,0.697
432056,53698,2057,45,0,144,1,2,0,52,8,24,56,0,29,18,1,1,2,3,8,0,0,3,0,1,0,1,0,0,0.0,0,0.0,0.0
432062,53698,2057,45,0,144,1,3,0,166,42,53,174,0,65,41,5,2,11,27,26,0,0,6,0,3,0,0,2,0,0.0,0,0.0,0.0
432252,53703,2057,45,0,144,1,1,0,114,16,36,123,421,44,35,2,0,1,12,4,0,0,4,0,1,0,0,5,0,-1.2109,0,1.3558,-0.6848
432254,53703,2057,45,0,144,1,2,0,28,1,14,29,0,17,9,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0.0,0,0.0,0.0
432256,53703,2057,45,0,144,1,3,0,86,15,22,94,0,38,26,2,0,1,10,4,0,0,4,0,1,0,0,4,0,0.0,0,0.0,0.0
432319,53736,2057,48,0,144,1,1,0,135,32,37,151,550,38,36,4,0,2,15,13,1,1,12,0,1,0,1,3,0,-0.4198,0,-0.8052,-0.0395
432324,53736,2057,48,0,144,1,2,0,61,20,12,70,0,29,18,3,0,0,9,5,0,0,6,0,1,0,1,2,0,0.0,0,0.0,0.0
432322,53736,2057,48,0,144,1,3,0,74,12,25,81,0,33,18,1,0,2,6,8,0,0,6,0,0,0,0,1,0,0.0,0,0.0,0.0
433361,53767,2057,43,0,144,1,1,0,39,3,12,41,140,25,5,0,0,0,1,2,0,1,1,0,3,0,1,0,0,-0.5347,0,0.1923,-0.7176
433364,53767,2057,43,0,144,1,2,0,7,0,2,7,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
433356,53767,2057,43,0,144,1,3,0,32,3,10,34,0,16,4,0,0,0,1,2,0,0,1,0,3,0,1,0,0,0.0,0,0.0,0.0
433482,53794,2057,47,0,144,1,1,0,431,113,113,487,1862,137,119,25,5,10,48,64,6,2,46,1,6,0,3,7,0,-0.3308,0,0.1866,3.6827
433484,53794,2057,47,0,144,1,2,0,77,19,27,82,0,52,8,5,1,0,7,9,0,0,5,0,2,0,0,0,0,0.0,0,0.0,0.0
433489,53794,2057,47,0,144,1,3,0,354,94,86,405,0,129,111,20,4,10,41,55,0,0,41,1,4,0,3,7,0,0.0,0,0.0,0.0
433486,53794,2057,47,0,144,1,21,0,29,10,4,33,100,9,8,2,0,2,8,9,0,0,3,0,0,0,0,1,0,0.3413,0,0.6797,0.0
434280,53849,2057,57,0,144,1,1,0,199,45,67,211,763,53,53,2,2,10,26,38,5,3,9,0,4,0,3,0,0,0.7841,0,-0.8431,0.2742
433937,53849,2057,57,0,144,1,2,0,47,12,15,52,0,28,12,0,0,4,8,11,0,0,4,0,1,0,1,0,0,0.0,0,0.0,0.0
434284,53849,2057,57,0,144,1,3,0,152,33,52,159,0,51,41,2,2,6,18,27,0,0,5,0,3,0,2,0,0,0.0,0,0.0,0.0
433938,53849,2057,57,0,144,1,21,0,15,4,1,15,46,3,3,1,0,2,3,5,0,0,0,0,0,0,0,0,0,0.2384,0,0.0736,0.0
434585,53883,2057,47,0,144,1,1,0,49,12,14,54,195,32,6,3,0,1,4,6,0,0,4,0,1,0,1,0,0,0.0209,0,0.3065,0.1991
434588,53883,2057,47,0,144,1,2,0,11,2,3,12,0,9,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0.0
434586,53883,2057,47,0,144,1,3,0,38,10,11,42,0,23,5,2,0,1,4,5,0,0,3,0,1,0,1,0,0,0.0,0,0.0,0.0
436453,54049,2057,33,0,144,1,1,0,78,17,24,84,313,31,20,3,0,0,2,5,0,0,3,0,0,0,1,2,0,-0.4484,0,0.211,-0.5188
436456,54049,2057,33,0,144,1,2,0,17,3,4,18,0,10,5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0.0
436449,54049,2057,33,0,144,1,3,0,61,14,20,66,0,25,15,2,0,0,1,5,0,0,2,0,0,0,1,2,0,0.0,0,0.0,0.0
440805,54508,2057,45,0,144,1,1,0,54,10,21,58,201,28,13,1,0,1,10,2,2,0,3,0,1,1,0,0,0,-0.4539,0,0.658,-0.0908
440808,54508,2057,45,0,144,1,2,0,20,4,6,21,0,14,6,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0.0
440802,54508,2057,45,0,144,1,3,0,34,6,15,37,0,22,7,1,0,0,7,1,0,0,2,0,1,1,0,0,0,0.0,0,0.0,0.0
443362,54837,2057,45,0,144,1,1,0,40,13,5,42,159,9,9,4,0,1,5,8,0,0,2,0,1,0,0,0,0,0.947,0,0.0169,0.1109
443368,54837,2057,45,0,144,1,2,0,7,3,2,8,0,5,1,1,0,1,3,6,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0.0
